case_id,vuln_type,audit_report,gt,eval_score,eval_input_token_num,eval_output_token_num,eval_inference_time
101,reentrancy,error: gpt4 fail,reentrancy,1.0,441.0,6.0,2.928713083267212
102,reentrancy,error: gpt4 fail,reentrancy,1.0,441.0,6.0,3.860532760620117
103,reentrancy,error: gpt4 fail,reentrancy,1.0,441.0,6.0,4.11918568611145
104,reentrancy,error: gpt4 fail,reentrancy,1.0,441.0,6.0,2.471118927001953
105,reentrancy,error: gpt4 fail,reentrancy,1.0,441.0,6.0,2.7460403442382812
106,reentrancy,error: gpt4 fail,reentrancy,1.0,441.0,6.0,3.0135982036590576
107,reentrancy,error: gpt4 fail,reentrancy,1.0,441.0,6.0,3.103149890899658
108,reentrancy,error: gpt4 fail,reentrancy,1.0,441.0,6.0,2.9527862071990967
109,reentrancy,error: gpt4 fail,reentrancy,1.0,441.0,6.0,1.6677329540252686
110,reentrancy,error: gpt4 fail,reentrancy,1.0,441.0,6.0,2.9265551567077637
111,reentrancy,error: gpt4 fail,reentrancy,1.0,441.0,6.0,2.8822531700134277
112,reentrancy,error: gpt4 fail,reentrancy,1.0,441.0,6.0,2.872523546218872
113,reentrancy,error: gpt4 fail,reentrancy,1.0,441.0,6.0,3.624445676803589
114,reentrancy,error: gpt4 fail,reentrancy,1.0,441.0,6.0,2.4642159938812256
115,reentrancy,error: gpt4 fail,reentrancy,1.0,441.0,6.0,4.874975681304932
116,reentrancy,error: gpt4 fail,reentrancy,1.0,441.0,6.0,3.0062034130096436
117,reentrancy,error: gpt4 fail,reentrancy,1.0,441.0,6.0,2.985872268676758
118,reentrancy,error: gpt4 fail,reentrancy,1.0,441.0,6.0,4.459132671356201
119,reentrancy,error: gpt4 fail,reentrancy,1.0,441.0,6.0,3.3550541400909424
120,reentrancy,error: gpt4 fail,reentrancy,1.0,441.0,6.0,3.9530446529388428
121,reentrancy,error: gpt4 fail,reentrancy,1.0,441.0,6.0,1.9248852729797363
122,reentrancy,error: gpt4 fail,reentrancy,1.0,441.0,6.0,1.812760591506958
123,reentrancy,error: gpt4 fail,reentrancy,1.0,441.0,6.0,2.497767686843872
124,reentrancy,error: gpt4 fail,reentrancy,1.0,441.0,6.0,2.753455638885498
125,reentrancy,error: gpt4 fail,reentrancy,1.0,441.0,6.0,2.3772616386413574
126,reentrancy,error: gpt4 fail,reentrancy,1.0,441.0,6.0,2.315595865249634
127,time manipulation,error: gpt4 fail,time manipulation,1.0,440.0,6.0,3.4283268451690674
128,time manipulation,error: gpt4 fail,time manipulation,1.0,440.0,6.0,2.447221040725708
129,time manipulation,error: gpt4 fail,time manipulation,1.0,440.0,6.0,2.396253824234009
130,time manipulation,error: gpt4 fail,time manipulation,1.0,440.0,6.0,6.292229175567627
131,time manipulation,error: gpt4 fail,time manipulation,1.0,440.0,6.0,2.1968636512756348
132,short addresses,error: gpt4 fail,short addresses,1.0,440.0,6.0,3.5573813915252686
133,denial of service,error: gpt4 fail,denial of service,1.0,441.0,6.0,3.1340508460998535
134,denial of service,error: gpt4 fail,denial of service,1.0,441.0,6.0,2.839475393295288
135,denial of service,error: gpt4 fail,denial of service,0.0,441.0,6.0,1.9233758449554443
136,denial of service,error: gpt4 fail,denial of service,1.0,441.0,6.0,2.8323099613189697
137,denial of service,error: gpt4 fail,denial of service,1.0,441.0,6.0,3.9035308361053467
138,denial of service,error: gpt4 fail,denial of service,1.0,441.0,6.0,3.264676094055176
